kfold,iteracion,arquitectura,infer_time,num_test_samples
0,0,co-train,6.357219219207764,420
0,1,co-train,5.968513488769531,420
0,2,co-train,6.114081144332886,420
0,3,co-train,6.2642271518707275,420
0,4,co-train,6.304252624511719,420
1,0,co-train,5.966953754425049,420
1,1,co-train,5.620803117752075,420
1,2,co-train,5.757864713668823,420
1,3,co-train,6.181077480316162,420
1,4,co-train,6.294453382492065,420
2,0,co-train,6.31347393989563,420
2,1,co-train,6.263612270355225,420
2,2,co-train,6.278733015060425,420
2,3,co-train,6.605132102966309,420
2,4,co-train,6.1989357471466064,420
3,0,co-train,6.251518726348877,420
