kfold,iteracion,arquitectura,val_loss,val_accu,test1_loss,test1_accu,test1_precision,test1_recall,test1_f1score,test2_loss,test2_accu,test2_precision,test2_recall,test2_f1score
0,0,ResNet50,0.5223966836929321,0.7305107712745667,0.5678433179855347,0.7094907164573669,0.7172417710336412,0.7094907407407407,0.7023216638072922,0.5953677296638489,0.7008101940155029,0.7461381254433666,0.7008101851851852,0.7165341168609083
0,0,Xception,0.4992126524448395,0.7560483813285828,0.5401637554168701,0.7181712985038757,0.7189213528402474,0.7181712962962963,0.7157319292723641,0.5904226899147034,0.6840277910232544,0.7599328012984081,0.6840277777777778,0.70528884863124
0,0,DenseNet169,0.5590611696243286,0.6969085931777954,0.5802554488182068,0.6822916865348816,0.6925191793355857,0.6822916666666666,0.6713002415227415,0.5351786017417908,0.7164351940155029,0.7485573809103221,0.7164351851851852,0.7285257244692394
0,0,InceptionV4,0.5266620516777039,0.7264785170555115,0.5592663288116455,0.7083333134651184,0.7107779133502101,0.7083333333333334,0.7042510596928309,0.5662311911582947,0.6973379850387573,0.7603403411821748,0.6973379629629629,0.7162890649375204
0,0,DenseNet121,0.5666688084602356,0.7446236610412598,0.5758300423622131,0.7404513955116272,0.7533224201081636,0.7404513888888888,0.7331206333300112,0.5236275792121887,0.7537615895271301,0.7906469836089002,0.7537615740740741,0.7658379187694669
0,0,co-train1,,,,0.7352430555555556,0.7451261703415598,0.7352430555555556,0.7287354962921081,
0,0,co-train2,,,,0.7323495370370371,0.7755206305439158,0.7323495370370371,0.74644155514421,
0,1,ResNet50,0.4739658534526825,0.7694892287254333,0.5501574873924255,0.7300347089767456,0.7425855569864459,0.7300347222222222,0.7221221953963942,0.5325284004211426,0.7369791865348816,0.7737503408513597,0.7369791666666666,0.7495994636463822
0,1,Xception,0.5088995099067688,0.7513440847396851,0.5635655522346497,0.7048611044883728,0.7131850051101957,0.7048611111111112,0.7048216732669674,0.6754457950592041,0.6111111044883728,0.7748170993259095,0.6111111111111112,0.6384680134680136
0,1,DenseNet169,0.5263387560844421,0.7177419066429138,0.5527278780937195,0.7175925970077515,0.7268610204652884,0.7175925925925926,0.7102290104013949,0.5443634986877441,0.7280092835426331,0.7694901210617615,0.7280092592592593,0.741931832473427
0,1,InceptionV4,0.7487034797668457,0.7331989407539368,0.7472311854362488,0.7375578880310059,0.7372911699753216,0.7375578703703703,0.7373724192298811,0.9475634694099426,0.6924189925193787,0.7984569763592559,0.6924189814814815,0.7149439414615206
0,1,DenseNet121,0.6285035610198975,0.7278226017951965,0.623557984828949,0.7262731194496155,0.7430957670656037,0.7262731481481481,0.7164132528466596,0.5128495693206787,0.7627314925193787,0.7903533015849875,0.7627314814814815,0.77250127958008
0,1,co-train1,,,,0.7482638888888888,0.7480320241180693,0.7482638888888888,0.7474369311661268,
0,1,co-train2,,,,0.7071759259259259,0.7990696679846006,0.7071759259259259,0.7281252259939518,
0,2,ResNet50,0.49410998821258545,0.7412634491920471,0.525381326675415,0.734375,0.7341592796721599,0.734375,0.7332797051108357,0.6291819214820862,0.6869212985038757,0.7765952093397746,0.6869212962962963,0.7091261971411081
0,2,Xception,0.5080382823944092,0.7432795763015747,0.5410658121109009,0.7207754850387573,0.7209455054744465,0.7207754629629629,0.7189378215643887,0.5818995237350464,0.6958912014961243,0.7767911672468323,0.6958912037037037,0.7168754468716935
0,2,DenseNet169,0.7205274701118469,0.6982526779174805,0.6535748839378357,0.7303240895271301,0.7394809360827647,0.7303240740740741,0.723827270325324,0.5877204537391663,0.7505787014961243,0.7930936007100845,0.7505787037037037,0.7638294711221083
0,2,InceptionV4,0.5568493008613586,0.7170698642730713,0.5691462755203247,0.7112268805503845,0.7119922131046936,0.7112268518518519,0.7085531981200993,0.5935928821563721,0.6898148059844971,0.7637986030613207,0.6898148148148148,0.710528010869317
0,2,DenseNet121,0.5775953531265259,0.7466397881507874,0.5952834486961365,0.7317708134651184,0.7374064935182948,0.7317708333333334,0.7269352345096336,0.5399410724639893,0.7479745149612427,0.7999159652046333,0.7479745370370371,0.7628213420412441
0,2,co-train1,,,,0.7427662037037037,0.745195420457577,0.7427662037037037,0.7399421357075264,
0,2,co-train2,,,,0.7254050925925926,0.7928084841571928,0.7254050925925926,0.7433345652551091,
0,3,ResNet50,0.7543853521347046,0.710349440574646,0.6966732740402222,0.7259837985038757,0.7281271392297234,0.7259837962962963,0.7263601151680066,0.9496856927871704,0.6576967835426331,0.7900104570263098,0.6576967592592593,0.6829168330761148
0,3,Xception,0.5438448190689087,0.7184139490127563,0.5688192844390869,0.6941550970077515,0.6942519779893144,0.6941550925925926,0.6942006864191386,0.6334847211837769,0.6391782164573669,0.7535029454670643,0.6391782407407407,0.6657559743093083
0,3,DenseNet169,0.5541471838951111,0.7284946441650391,0.5743110775947571,0.7118055820465088,0.7267054141978972,0.7118055555555556,0.7014245241387662,0.5143378376960754,0.7361111044883728,0.7654408727555458,0.7361111111111112,0.7469770328988207
0,3,InceptionV4,0.7598344683647156,0.7157257795333862,0.7011411190032959,0.7364004850387573,0.7365369286252792,0.7364004629629629,0.7364612274034302,0.9497048854827881,0.6796875,0.7934340091923374,0.6796875,0.7032920652591942
0,3,DenseNet121,0.5549806952476501,0.7560483813285828,0.571259081363678,0.7311921119689941,0.7398767151713751,0.7311921296296297,0.7249490650545523,0.5683478713035583,0.7439236044883728,0.788136214993962,0.7439236111111112,0.7577429949575362
0,3,co-train1,,,,0.7291666666666666,0.7349775995099855,0.7291666666666666,0.7241237050313448,
0,3,co-train2,,,,0.7314814814814815,0.7836519530504988,0.7314814814814815,0.7471509690104233,
0,4,ResNet50,0.8076651692390442,0.7029569745063782,0.7539117336273193,0.7193287014961243,0.7213834450033837,0.7193287037037037,0.7159628401596844,0.7793365120887756,0.7065972089767456,0.7730673823541054,0.7065972222222222,0.7254936922649888
0,4,Xception,0.5062338709831238,0.7520161271095276,0.5529635548591614,0.7083333134651184,0.7088126628096322,0.7083333333333334,0.7085122778833953,0.6439225673675537,0.6383101940155029,0.7570407085365692,0.6383101851851852,0.6650109941776198
0,4,DenseNet169,0.6216529607772827,0.7244623899459839,0.5967135429382324,0.7317708134651184,0.7314357371704531,0.7317708333333334,0.7308131225341788,0.6570554375648499,0.7092013955116272,0.7997976765797669,0.7092013888888888,0.7299453790380702
0,4,InceptionV4,0.7163537740707397,0.7405914068222046,0.72203129529953,0.7488425970077515,0.7524306447210902,0.7488425925925926,0.7491881261171385,1.0287572145462036,0.6626157164573669,0.8039203154754152,0.6626157407407407,0.687293532671587
0,4,DenseNet121,0.6051768660545349,0.7365591526031494,0.6065734624862671,0.7326388955116272,0.7424915965380992,0.7326388888888888,0.7259883559520647,0.5611244440078735,0.7471064925193787,0.7888046500025367,0.7471064814814815,0.760348671092052
0,4,co-train1,,,,0.7491319444444444,0.7487950773761044,0.7491319444444444,0.7485280386984051,
0,4,co-train2,,,,0.6947337962962963,0.7912001802532992,0.6947337962962963,0.7167619715553466,
